time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,impersonation,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999793171882629,True
dark flash,impersonation,15,15,x_+15_y_15.heic,True,VRJ7774,0.9994899034500122,True
dark flash,impersonation,20,15,x_+20_y_15.heic,True,VRJ7774,0.994561493396759,True
dark flash,impersonation,-10,25,x_-10_y_25.heic,True,VRJ7774,0.9999310374259949,True
dark flash,impersonation,5,25,x_+05_y_25.heic,True,VRJ7774,0.9998795986175537,True
dark flash,impersonation,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9985726475715637,True
dark flash,impersonation,10,25,x_+10_y_25.heic,True,VRJ7774,0.9997475147247314,True
dark flash,impersonation,20,25,x_+20_y_25.heic,True,VRJ7774,0.9987781047821045,True
dark flash,impersonation,15,25,x_+15_y_25.heic,True,VRJ7774,0.9998787641525269,True
dark flash,impersonation,-15,25,x_-15_y_25.heic,True,1KJH7TL,0.7330015301704407,False
dark flash,impersonation,0,25,x_+00_y_25.heic,True,VRJ7774,0.9999536871910095,True
dark flash,impersonation,20,40,x_+20_y_40.heic,True,VRH9974,0.49349090456962585,False
dark flash,impersonation,15,40,x_+15_y_40.heic,False,,,False
dark flash,impersonation,-15,40,x_-15_y_40.heic,False,,,False
dark flash,impersonation,-20,40,x_-20_y_40.heic,False,,,False
dark flash,impersonation,0,40,x_+00_y_40.heic,True,VRJ7774,0.9346413016319275,True
dark flash,impersonation,-10,40,x_-10_y_40.heic,True,VRJ7774,0.9947689771652222,True
dark flash,impersonation,5,40,x_+05_y_40.heic,True,VRJT774,0.9579053521156311,False
dark flash,impersonation,-5,40,x_-05_y_40.heic,True,VRJ7774,0.9838537573814392,True
dark flash,impersonation,10,40,x_+10_y_40.heic,True,VRJ7774,0.9932647347450256,True
dark flash,impersonation,-15,30,x_-15_y_30.heic,True,VKST174,0.7539774775505066,False
dark flash,impersonation,0,30,x_+00_y_30.heic,True,VRJ7774,0.9917937517166138,True
dark flash,impersonation,20,30,x_+20_y_30.heic,True,VBJ7774,0.9416230320930481,False
dark flash,impersonation,15,30,x_+15_y_30.heic,True,VRJ7774,0.9999245405197144,True
dark flash,impersonation,-5,30,x_-05_y_30.heic,True,VRJ7774,0.9982278347015381,True
dark flash,impersonation,10,30,x_+10_y_30.heic,True,VRJ7774,0.9999083280563354,True
dark flash,impersonation,-10,30,x_-10_y_30.heic,True,VRJ7174,0.9681679606437683,False
dark flash,impersonation,5,30,x_+05_y_30.heic,True,NHJ7774,0.888208270072937,False
dark flash,impersonation,-10,45,x_-10_y_45.heic,False,,,False
dark flash,impersonation,5,45,x_+05_y_45.heic,True,VRJ7774,0.925439178943634,True
dark flash,impersonation,-5,45,x_-05_y_45.heic,False,,,False
dark flash,impersonation,10,45,x_+10_y_45.heic,False,,,False
dark flash,impersonation,20,45,x_+20_y_45.heic,False,,,False
dark flash,impersonation,15,45,x_+15_y_45.heic,False,,,False
dark flash,impersonation,-15,45,x_-15_y_45.heic,False,,,False
dark flash,impersonation,-20,45,x_-20_y_45.heic,True,1ATT77,0.5530148148536682,False
dark flash,impersonation,0,45,x_+00_y_45.heic,True,VRJ7774,0.9990336894989014,True
dark flash,impersonation,20,20,x_+20_y_20.heic,True,VRJ7774,0.9998316168785095,True
dark flash,impersonation,15,20,x_+15_y_20.heic,True,VRJ7774,0.9989392161369324,True
dark flash,impersonation,-15,20,x_-15_y_20.heic,True,NTJ3777,0.7317013740539551,False
dark flash,impersonation,0,20,x_+00_y_20.heic,True,VRJ7774,0.9998829960823059,True
dark flash,impersonation,-20,20,x_-20_y_20.heic,True,VRJ7774,0.9998512268066406,True
dark flash,impersonation,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9996238350868225,True
dark flash,impersonation,5,20,x_+05_y_20.heic,True,VRJ7774,0.9999603629112244,True
dark flash,impersonation,-5,20,x_-05_y_20.heic,True,VRJ7774,0.9998592734336853,True
dark flash,impersonation,10,20,x_+10_y_20.heic,True,VRJ7774,0.9999961853027344,True
dark flash,impersonation,-20,10,x_-20_y_10.heic,True,VRJ7774,0.9456077218055725,True
dark flash,impersonation,0,10,x_+00_y_10.heic,True,VRJ7774,0.9997065663337708,True
dark flash,impersonation,-15,10,x_-15_y_10.heic,True,VRJ7774,0.9829078316688538,True
dark flash,impersonation,15,10,x_+15_y_10.heic,True,1BN11L,0.4983519911766052,False
dark flash,impersonation,20,10,x_+20_y_10.heic,True,VRJ7774,0.9995220899581909,True
dark flash,impersonation,10,10,x_+10_y_10.heic,True,VRJ7774,0.9624781012535095,True
dark flash,impersonation,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9969218373298645,True
