time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,impersonation,-5,50,x_-05_y_50.heic,True,VRJ7774,0.9182469248771667,True
dark flash,impersonation,10,50,x_+10_y_50.heic,False,,,False
dark flash,impersonation,-10,50,x_-10_y_50.heic,True,1VEHTT,0.5785850882530212,False
dark flash,impersonation,5,50,x_+05_y_50.heic,True,VJJ7774,0.8337924480438232,False
dark flash,impersonation,5,5,x_+05_y_05.heic,True,VRJ7774,0.9995830059051514,True
dark flash,impersonation,-10,5,x_-10_y_05.heic,True,VCF732,0.6681501865386963,False
dark flash,impersonation,10,5,x_+10_y_05.heic,True,VRJ7774,0.9999990463256836,True
dark flash,impersonation,-5,5,x_-05_y_05.heic,True,VRJ7774,0.999104380607605,True
dark flash,impersonation,15,5,x_+15_y_05.heic,True,VRJ7774,0.9999951124191284,True
dark flash,impersonation,20,5,x_+20_y_05.heic,False,,,False
dark flash,impersonation,0,5,x_+00_y_05.heic,True,VRJ7774,0.99997478723526,True
dark flash,impersonation,-20,5,x_-20_y_05.heic,False,,,False
dark flash,impersonation,-15,5,x_-15_y_05.heic,False,,,False
dark flash,control,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999998807907104,True
dark flash,control,-5,15,x_-05_y_15.heic,True,VRJ7774,1.0,True
dark flash,control,5,15,x_+05_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9999992847442627,True
dark flash,control,-20,15,x_-20_y_15.heic,False,,,False
dark flash,control,0,15,x_+00_y_15.heic,True,VRJ7774,1.0,True
dark flash,control,-15,15,x_-15_y_15.heic,True,VRJ7774,1.0,True
dark flash,control,15,15,x_+15_y_15.heic,True,VRJ7774,1.0,True
dark flash,control,20,15,x_+20_y_15.heic,True,VRJ7774,0.9999995827674866,True
dark flash,control,-10,25,x_-10_y_25.heic,True,VNJ7Z74,0.7713575959205627,False
dark flash,control,5,25,x_+05_y_25.heic,True,VRJ7774,0.9999997019767761,True
dark flash,control,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9954093098640442,True
dark flash,control,10,25,x_+10_y_25.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,20,25,x_+20_y_25.heic,True,VRJ7724,0.8880917429924011,False
dark flash,control,15,25,x_+15_y_25.heic,True,TPJ7771,0.932460367679596,False
dark flash,control,-15,25,x_-15_y_25.heic,False,,,False
dark flash,control,0,25,x_+00_y_25.heic,True,VRJ7774,0.9999985098838806,True
dark flash,control,-20,25,x_-20_y_25.heic,True,VRJ7774,1.0,True
dark flash,control,20,40,x_+20_y_40.heic,False,,,False
dark flash,control,15,40,x_+15_y_40.heic,False,,,False
dark flash,control,-15,40,x_-15_y_40.heic,True,VRJ7774,0.9999997615814209,True
dark flash,control,-20,40,x_-20_y_40.heic,False,,,False
dark flash,control,0,40,x_+00_y_40.heic,True,VRJ7774,0.9998483657836914,True
dark flash,control,-10,40,x_-10_y_40.heic,True,VRJ7774,0.9919769763946533,True
dark flash,control,5,40,x_+05_y_40.heic,False,,,False
dark flash,control,-5,40,x_-05_y_40.heic,True,VRJ7774,0.998988151550293,True
dark flash,control,10,40,x_+10_y_40.heic,False,,,False
dark flash,control,-15,30,x_-15_y_30.heic,True,VRJ7774,0.999762773513794,True
dark flash,control,-20,30,x_-20_y_30.heic,False,,,False
dark flash,control,0,30,x_+00_y_30.heic,True,VRJ7774,1.0,True
dark flash,control,20,30,x_+20_y_30.heic,True,VRJ7734,0.9622660875320435,False
