time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,control,15,15,x_+15_y_15.heic,True,VRJ7774,0.9998754858970642,True
dark flash,control,20,15,x_+20_y_15.heic,True,VRJ7774,0.9999659657478333,True
dark flash,control,-10,25,x_-10_y_25.heic,True,1RJH774,0.5931389927864075,False
dark flash,control,5,25,x_+05_y_25.heic,True,VRJ7774,0.9992512464523317,True
dark flash,control,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9945093989372252,True
dark flash,control,10,25,x_+10_y_25.heic,True,VRJ7774,0.9997132420539856,True
dark flash,control,20,25,x_+20_y_25.heic,False,,,False
dark flash,control,15,25,x_+15_y_25.heic,False,,,False
dark flash,control,-15,25,x_-15_y_25.heic,False,,,False
dark flash,control,0,25,x_+00_y_25.heic,True,VRJ7774,0.9996744990348816,True
dark flash,control,-20,25,x_-20_y_25.heic,False,,,False
dark flash,control,20,40,x_+20_y_40.heic,False,,,False
dark flash,control,15,40,x_+15_y_40.heic,False,,,False
dark flash,control,-15,40,x_-15_y_40.heic,False,,,False
dark flash,control,-20,40,x_-20_y_40.heic,False,,,False
dark flash,control,0,40,x_+00_y_40.heic,False,,,False
dark flash,control,-10,40,x_-10_y_40.heic,False,,,False
dark flash,control,5,40,x_+05_y_40.heic,False,,,False
dark flash,control,-5,40,x_-05_y_40.heic,False,,,False
dark flash,control,10,40,x_+10_y_40.heic,True,VVZ7777,0.8021349906921387,False
dark flash,control,-15,30,x_-15_y_30.heic,False,,,False
dark flash,control,-20,30,x_-20_y_30.heic,False,,,False
dark flash,control,0,30,x_+00_y_30.heic,False,,,False
dark flash,control,20,30,x_+20_y_30.heic,False,,,False
dark flash,control,15,30,x_+15_y_30.heic,True,VRJ7774,0.99981427192688,True
dark flash,control,-5,30,x_-05_y_30.heic,True,VRJ7774,0.9997603893280028,True
dark flash,control,10,30,x_+10_y_30.heic,True,VKJ7774,0.8984770178794861,False
dark flash,control,-10,30,x_-10_y_30.heic,True,PP7776,0.590495228767395,False
dark flash,control,5,30,x_+05_y_30.heic,True,VRJ7774,0.9946410059928894,True
dark flash,control,-10,45,x_-10_y_45.heic,False,,,False
dark flash,control,5,45,x_+05_y_45.heic,False,,,False
dark flash,control,-5,45,x_-05_y_45.heic,False,,,False
dark flash,control,10,45,x_+10_y_45.heic,False,,,False
dark flash,control,20,45,x_+20_y_45.heic,False,,,False
dark flash,control,15,45,x_+15_y_45.heic,False,,,False
dark flash,control,-15,45,x_-15_y_45.heic,False,,,False
dark flash,control,-20,45,x_-20_y_45.heic,False,,,False
dark flash,control,0,45,x_+00_y_45.heic,False,,,False
dark flash,control,20,20,x_+20_y_20.heic,False,,,False
dark flash,control,15,20,x_+15_y_20.heic,True,VRJ7774,0.9997257590293884,True
dark flash,control,-15,20,x_-15_y_20.heic,True,VRJ7774,0.999880075454712,True
dark flash,control,0,20,x_+00_y_20.heic,True,VRJ7774,0.9999242424964904,True
dark flash,control,-20,20,x_-20_y_20.heic,False,,,False
dark flash,control,-10,20,x_-10_y_20.heic,True,VRJ7774,0.999979853630066,True
dark flash,control,5,20,x_+05_y_20.heic,True,VRJ7774,0.9869940876960754,True
dark flash,control,-5,20,x_-05_y_20.heic,True,VRJ7774,0.9999932050704956,True
dark flash,control,10,20,x_+10_y_20.heic,True,VRJ7774,0.9999456405639648,True
dark flash,control,-20,10,x_-20_y_10.heic,False,,,False
dark flash,control,0,10,x_+00_y_10.heic,True,VBJ7774,0.8963496088981628,False
dark flash,control,-15,10,x_-15_y_10.heic,False,,,False
dark flash,control,15,10,x_+15_y_10.heic,True,VRJ7774,0.9998619556427002,True
dark flash,control,20,10,x_+20_y_10.heic,False,,,False
dark flash,control,10,10,x_+10_y_10.heic,True,VRJ7774,0.9998989105224608,True
dark flash,control,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9999127984046936,True
dark flash,control,5,10,x_+05_y_10.heic,True,VRJ7774,0.9999881386756896,True
dark flash,control,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9925068616867064,True
dark flash,control,-5,35,x_-05_y_35.heic,False,,,False
dark flash,control,10,35,x_+10_y_35.heic,True,VRJ7774,0.9259019494056702,True
dark flash,control,-10,35,x_-10_y_35.heic,False,,,False
dark flash,control,5,35,x_+05_y_35.heic,False,,,False
dark flash,control,-15,35,x_-15_y_35.heic,False,,,False
dark flash,control,-20,35,x_-20_y_35.heic,False,,,False
